;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
17;din muͦter kintper wart;Diͤn muͦter kint bere wart;Din muͦt͛ kint bernde wart;din mvͦter kint bære wart;0,19;0,31;0,2;0,19;0,15;0,27
18;vn̄ belaib v͛ſpart;vn̄ belaib idoch verſpart;vn̄ belab iedoch u͛ſpart;vnd idoch beleip verſpart;0,32;0,33;0,44;0,2;0,52;0,56
19;darnach als da vore;Der magde guldiͤn toͤr;Der megede guldines tor;der meide gvldine tor;0,73;0,78;0,71;0,26;0,32;0,22
20;der magede guldines tor;dar nah als da voͤr;Baide ſit alſ oͮch dir uor;dar nach alſo da bevor;0,65;0,77;0,7;0,65;0,27;0,65
21;da von d͛ weiſſage ſp̃ch;Da von der wiſſage wilē ſprach;Da uor der wiſe ſprach;Da von der wiſſage wilen ſprach;0,39;0,46;0,39;0,35;0,03;0,35
22;do er den kvnik varen ſach;do er den heren chvnic ſach;Do er den h͛ren kuͥnic ſach;do er den heren chvͤnech ſach;0,41;0,44;0,38;0,19;0,1;0,28
23;pede ovz vn̄ in;Varn bediv vͦz vn̄ in;varen uͥnſ vnd in;varn beidiv vͦz vnd in;0,48;0,53;0,55;0,57;0,14;0,5
24;daʒ enkunde menſchen ſin;daz nimmer menſchen ſin;Das niemer menſchen ſin;daz nehein menneſſchen ſin;0,29;0,33;0,38;0,13;0,31;0,35
25;nimm͛ volendet han;Chvnde vol errechet han;Volle rekket kvͥnde han;chvnde wol er rechet han;0,52;0,65;0,58;0,74;0,12;0,67
26;ez hiet din gotheit getan;ez enhet diͤn gotheit getan;Es enhette din gothait getan;ezen hete din goteheit getan;0,15;0,29;0,18;0,21;0,18;0,25
27;Alſo troſte ich mir zeſtevre;Alſo troͤſt ich mich zegwinne;Alſo troſte ʒe gewinne;Alſo troͤſten mich ze gewinne;0,31;0,46;0,41;0,38;0,21;0,28
28;chomen deſ hailigen gaiſtes fiwer;des heligen geiſtes minne;Des hailigen gaiſtes minne;deſ heiligen geiſtes fiwer vnd minne;0,45;0,39;0,53;0,15;0,33;0,39
29;daʒ ſin heilige minne;;;;1,0;1,0;1,0;1,0;1,0;1,0
30;enzunde mine ſinne;;;;1,0;1,0;1,0;1,0;1,0;1,0
31;vnde mir zeſtaten chome;Daz ſi mir zeſtaten chomen;Ruͦche mir ʒe ſtatten komen;vnde rvͦchen mir zeſtaten chomen;0,27;0,41;0,28;0,41;0,34;0,41
32;wan wir dike han ver nom;wan ich vil diche han v͛nomen;herre nu han ich wol u͛nomen;wand ich vil diche han vernomen;0,45;0,79;0,39;0,59;0,1;0,61
33;vn̄ iſt mir wiʒʒenlichen kunt;Vn̄ iſt mir wizzenchlichē chvnt;Vn̄ iſt mir wiſſenlichen kunt;vnd iſt mir ovch wizzenliche kvnt;0,28;0,1;0,3;0,25;0,36;0,33
34;daʒ manik ſundiger mūt;daz manech ſvndig͛ mvnt;Dc menic ſuͥndig͛ munt;daz manech ſvͤndeger mvnt;0,39;0,39;0,36;0,39;0,16;0,48
35;die warhait volbrahte;Die warheit fvr brachte;Diͤ warhait fuͥrbrahte;di warheit fvͤr brahte;0,26;0,27;0,27;0,26;0,17;0,27
36;der er doch nie gedahte;der er doch nie gedachte;Der ir doch niht gedahte;der er doch nie gedahte;0,04;0,17;0,0;0,21;0,04;0,17
37;durch den heinen dinen willen;Dvrch deheinen diͤnen willen;Durch enhainen dinen willen;dvrh deheinen dinen willen;0,17;0,14;0,14;0,18;0,11;0,22
38;als wir leſen von sibillen;als wir leſen von ſibyllen;Alſ wir leſen vō ſibillen;alſ wir leſen von Sibillen;0,08;0,15;0,08;0,15;0,12;0,12
39;vn̄ an den puͦchen and͛ſwa;Vn̄ an dem buͤche ander ſwa;Vn̄ an den buͦchen anderſwa;vnd an den bvͦchen anderſwa;0,3;0,15;0,19;0,15;0,26;0,11
40;von dem piſchof cayfa;von dem biſchof cayfa;Von dem biſchoffe kaỳpha;von dem biſſchoffe kaẏpha;0,05;0,33;0,31;0,29;0,27;0,15
41;die weiſſagtē pede die warhait;Der wiſſagte bediv warheit;Die wiſagent baide die warhait;di wiſſageten beide di warheit;0,35;0,29;0,26;0,4;0,33;0,3
42;auch haſtu h͛re fur gelait;auch haſtv vns herre fvr geleit;Oͮch haſt du mere fuͥrgelait;Ovch haſt vns herre fvͤr geleit;0,29;0,29;0,35;0,39;0,13;0,32
43;in dinem hailigen ewangelio;Indiͤnem ewangelio;In dem hailigen ewangelio;in dinem heilige ewangelio;0,44;0,11;0,07;0,4;0,42;0,19
44;daʒ leret vnſ alſo;daz wiͤſt vn̄ lert vns alſo;Der uͥnſ wiſet vn̄ leret alſo;daz bewiſet vnt leret vns alſo;0,48;0,62;0,47;0,52;0,2;0,43
45;daz wir vor allen dingen;Daz wir vor allen dingen;Dc wir mit allen dingen;daz wir vor allen dingen;0,04;0,25;0,0;0,21;0,04;0,25
46;nach dinen genaden ringen;nach diͤnem riche ringen;Nach dinen gnaden ringen;nach dinen genaden ringen;0,32;0,08;0,0;0,33;0,32;0,08
47;vn̄ ſwer des erſten darume bit;Vnt ſwer ze dem erſten dar vmbe bite;Sw͛ dich ʒe dem erſtē drūbe bitte;vnd ſwer zem erſten dar vmbe bite;0,28;0,49;0,21;0,39;0,14;0,49
48;daz im werde damit;daz im werde da mit;Dc dem w͛de da mitte;daz im werde da mite;0,05;0,5;0,1;0,45;0,05;0,4
49;daz ander alleʒ ge geben;Daz ander allez gegeben;Das and͛ alles gegeben;daz ander allez gegeben;0,12;0,25;0,08;0,17;0,04;0,22
50;daz beʒaichent ditʒe vnſtete leben;daz bezeichent ditz vnſtæte leben;Diſ beʒaichent dc ewic leben;daz bezeichent diz vnſtæte leben;0,15;0,41;0,18;0,45;0,03;0,44
51;ſwer ienes er wirbet der hat daʒ wol;Der ienz erwirbet d͛ hat ditze wol;Sw͛ dc erwirbet der hat dis wol;ſwer ienez erwirbet der hat diz wol;0,31;0,31;0,11;0,35;0,2;0,26
52;div red man ſus m͛ken ſol;die rede man ſus v͛uahen ſol;Die rede man ſus u͛nemen ſol;di rede man alſvs verſten ſol;0,21;0,25;0,34;0,18;0,28;0,34
53;Swer gewendet ſinen mvͦt;Swer alſo wendet ſiͤnen mvͦt;ſwer alſo keret ſinen muͦt;Swer alſo gewendet ſinen mvͦt;0,21;0,38;0,17;0,21;0,1;0,24
54;daʒ in alleʒ dunchet guͦt;daz in daz allez dunchet guͦt;Dc in alles dc dunket guͦt;daz in allez daz dvnchet gvͦt;0,21;0,35;0,28;0,45;0,34;0,34
55;daʒ im got ʒe genaden geit;Swaz im got zegnaden giͤt;Dc im got ʒe genaden tuͦt;daz im got ze gnaden git;0,31;0,23;0,15;0,4;0,16;0,32
56;der wartet niht wan der ʒeit;der wartet niwan der ziͤt;Der wartot nu uon der ʒit;der wartet niwan der zit;0,21;0,29;0,18;0,32;0,04;0,28
57;daʒ im werde geſait;Wanne im werde geſeit;Wenne man im ſait;wenne im werde geſeit;0,24;0,74;0,29;0,52;0,1;0,52
58;daʒ div wirtſchaft ſey berait;daz da wirtſchaft ſiͤ bereit;Vuenne div wirtſchaft ſi berait;daz div wirtſchaft ſi bereit;0,21;0,26;0,14;0,32;0,11;0,23
59;dar wir alle ſin geladet;Dar wir alle ſiͤn geladet;Dar wir alle ſien geladet;dar wir alle ſin geladet;0,08;0,08;0,0;0,04;0,08;0,08
60;da dem armen ofte ſchadet;vn̄ doch dem armen ſchadet;Da doch vil mengem armen ſchadot;vnt doh dem armen diche ſchadet;0,46;0,5;0,32;0,38;0,26;0,56
61;daʒ er ſo niht gevaʒʒet iſt;Daz er ſo niht gechleidet iſt;Dc er niht ſo wol geklaidet iſt;daz er niht ſo gechleidet iſt;0,28;0,52;0,45;0,45;0,24;0,32
62;daʒ in der wirt ihc chriſt;daz in der wirt vnſer herre chriſt;Das in ivnſ͛ herre kriſt;daz in der wirt vnſer herre kriſt;0,32;0,62;0,39;0,41;0,06;0,36
63;dulte dar inne;Dvlten welle dar inne;Verdulden welle dar inne;ver dvlten welle dar inne;0,43;0,46;0,48;0,25;0,2;0,16
64;daz gewant iſt div minne;daz gewant iſt div minne;Diſ gewant iſt div waͤre minne;Diz gewant daz iſt div minne;0,0;0,3;0,21;0,3;0,21;0,37
65;an daʒ nieman mak geneſen;Andie nieman mach geneſen;An die nieman mac geneſen;an din niemen mach geneſen;0,24;0,16;0,19;0,08;0,15;0,15
66;noch ſol ze froner wirtſchaft weſen;noch enſol zevron tiſche weſen;Noch enſol ʒe vronetiſche weſen;noch enſol ze vronem tiſſche weſen;0,34;0,37;0,29;0,13;0,12;0,15
67;;;des wonot mir michel vorhte bi;;1,0;1,0;1,0;1,0;1,0;1,0
68;der nachinden ich ainer bin;Der nach dem ich einer bin;Dc ich der nachenden aine ſi;Der nacheten wæne ich einer bin;0,19;0,54;0,29;0,57;0,26;0,61
69;;;Der da wirt wertriben hin;;1,0;1,0;1,0;1,0;1,0;1,0
70;wan ich ie wande minen ſin;wand ich ie want miͤnen ſin;Wan ich wante ie minen ſin;want ich ie wande minen ſin;0,15;0,31;0,04;0,37;0,15;0,33
71;nach d͛ werlte niht nach got;Zeder w͛lde lon vn̄ niht nah got;Ʒe d͛ welte lon vn̄ niht an gotte;ze werlde lone vnd niht dvrh Got;0,5;0,55;0,59;0,3;0,38;0,45
72;liegen ſchimpfen vn̄ ſpot;luge ſchimph vn̄ ſpot;Ʒugt ſchimph vn̄ ſpot;lvͦge ſhimpfen vnd ſpot;0,24;0,32;0,2;0,1;0,3;0,39
73;dar ovf ſtuͦnt aller min gedanch;Dar vͦf ſtunt aller miͤn gedanch;Dar uf ſtuͦnt aller min gedank;dar vͦf ſtvnt aller min gedanch;0,16;0,16;0,12;0,19;0,09;0,23
74;die weile dovhte mich vil lanch;div wile divht mich vil lanch;Die wile duhte mich vil lank;div wile dvhte mich zelanch;0,13;0,19;0,23;0,24;0,21;0,32
75;ſwa mā die warhait las;Swa man die warheit las;Swa man die warhait las;ſwa man di warheit las;0,13;0,09;0,13;0,04;0,09;0,13
76;vn̄ ſprach daʒ von gote waʒ;od icht von got zereden was;Ald vō got iht ʒe redenne was;vnd iht von gote ze redene waſ;0,7;0,73;0,7;0,47;0,23;0,43
77;Swie gerne ich nv wider kerte;Swie gerne ih nu wider cherte;Swie g͛ne ich nu wid͛ kerte;Swi gerne ich nvͦ wider cherte;0,14;0,17;0,13;0,24;0,13;0,3
78;vn̄ im minen dienſt merte;vn̄ im ſein lop gemerte;Vnd gottes dieneſt merte;vnd gote ſinen dieneſt gemerte;0,44;0,4;0,3;0,67;0,5;0,3
79;nv irret mich div vngewonhait;So irret mih div gewonheit;So enlat mich die gewonhait;ſo irret mich div gewonheit;0,21;0,31;0,17;0,26;0,07;0,26
80;wan ich mich d͛ vppichait;want ih ouch von der vppicheit;won ich vf and͛ upekait;wand ich vͦf ander vppecheit;0,37;0,44;0,39;0,6;0,33;0,36
81;ie her von kinthait flaiz;Mih vntz her von chinde fleiz;Mich ie her uon kinde vlais;mich ie her von chinde vleiz;0,52;0,48;0,5;0,38;0,24;0,21
82;ob ich nv iht guͦtes waiʒ;ob ih nv icht guͦtes weiz;Ob ich nu iht guͦtes wais;ob ich nvͦ iht gvͦtes weiz;0,16;0,12;0,15;0,24;0,15;0,23
83;daʒ ichs niht fur bringen chan;Daz ih des niht vol bringen chan;Dc ich des niht endē kan;daz ich ez niht fvͦr bringen chan;0,28;0,57;0,18;0,44;0,21;0,52
84;mir kome ʒe helfe dar an;mir chom zehelfe dar an;Mir enkome ʒe troſt her an;mir enchom ze helffe dar an;0,21;0,38;0,26;0,54;0,15;0,48
85;goteſ chraft vn̄ ſin lere;Siͤn chraft vn̄ ſiͤn lere;Sin kraft vnd ſine lere;ſin chrapft vnt ſin lere;0,24;0,36;0,28;0,24;0,2;0,25
86;durch ſiner mvͦter ere;durch ſiͤner mvͦter ere;Durch ſiner muͦt͛ ere;dvrh ſiner mvͦter ere;0,04;0,18;0,09;0,22;0,13;0,29
87;;So rvch er mir geſtungen;;;1,0;1,0;1,0;1,0;1,0;1,0
88;;daz hertze vnt die zungen;;;1,0;1,0;1,0;1,0;1,0;1,0
89;d͛ minen ſin mache ſo brait;Dar machent gereit;Mache er mir den ſin berait;mache er mir den ſin bereit;0,67;0,63;0,67;0,59;0,56;0,07
90;daʒ ich vō ſiner kinthait;daz ih von ſiͤner chintheit;Dc ich von ſin͛ kinthat;daz ich von ſiner chintheit;0,26;0,27;0,19;0,41;0,07;0,33
91;alſo geſprechen mvezʒe;Alſo geſprechen mvͦzze;Alſo geſprechen muͤſſe;alſo geſprechen mvͤze;0,14;0,23;0,09;0,18;0,14;0,18
92;ſwa mich der werlte ſueʒʒe;ſwa mih der werlde ſvͦzze;Ob mich der welte ſuͤſſe;ſwa mich der werlde ſvͤze;0,23;0,27;0,19;0,4;0,12;0,32
93;oͮf ander rede geſchundet hat;Vͦf ander rede geſchvntet hat;Vf de hain and͛ rede gelaitet hat;vf ander rede geſchvͤndet hat;0,14;0,55;0,14;0,48;0,14;0,55
94;daz der diſe ſpreche mat;daz der mit dirre w͛de rat;Das der mit dirre werde rat;daz der mit dirre werde rat;0,42;0,52;0,44;0,15;0,07;0,07
95;Des ich ʒe ſagen han gedaht;Daz zeſagen het gedaht;des ich ʒe ſagēne han gedaht;Deſ ich ce ſagene han gedaht;0,37;0,1;0,11;0,45;0,39;0,14
96;deʒ iſt ain tail æ volbraht;des was ein teil her fvr braht;Des wc ain tail fuͥr braht;deſ waſ ein teil fvͤr braht;0,4;0,37;0,41;0,37;0,23;0,3
97;mit tevſchem getihte;Mit tivſchem getihte;Ʒe tuͥſchem getihte;mit tivſchem getihte;0,1;0,25;0,05;0,25;0,05;0,25
98;daʒ ich zvͦ miner phlihte;ſo daz ihſ zemiͤner phlihte;So dc ich es ʒe miner phlihte;ſo daz ich eſ zvͦ miner pflihte;0,37;0,34;0,26;0,34;0,26;0,26
99;den haine weiʒ mak entweſen;Deheine wis niht moht entweſen;Nih mag entweſen;de heinen wiſ mach entweſen;0,43;0,52;0,26;0,57;0,4;0,52
100;ſwer ie hat horen leſen;ſwer ie gehort oder hat geleſen;Sw͛ ie horte od͛ hate geleſen;Swer ie horte oder hat geleſen;0,42;0,52;0,43;0,29;0,13;0,17
101;von vnſer vrowen ain liet;Von vnſer froͮwen ein liet;von vͥnſer froͮwen an liet;von vnſerre frowen ein liet;0,15;0,15;0,15;0,15;0,15;0,22
102;daʒ maiſter Hainrich beſchiet;da meiſt͛ heinrich an beſchiet;Da maiſt͛ hainrich an beſchiet;da meiſter Heinrich an beſchiet;0,3;0,27;0,19;0,1;0,1;0,19
103;vm ir muͦter ſant Annen;Vm ir muͦter ſant annen;Von ir muͦt͛ ſant annen;vmbe ir mvter ſande Annen;0,09;0,26;0,24;0,17;0,32;0,44
104;wie ſi von dreyn mannen;wie ſi von drin mannen;Wie die bi drin mannen;wi ſi von drin ir mannen;0,09;0,35;0,25;0,27;0,17;0,42
105;drey edel tohter gebar;Dri edel toͤhter gebar;Drig tohteran gebar;dri edel tohter gebar;0,18;0,45;0,09;0,36;0,09;0,38
106;volchom aller tugent gar;vol chomen aller tuͦgende gar;An tugenden wollekomen gar;an tvgenden vol chomen gar;0,21;0,73;0,73;0,66;0,66;0,23
107;div vrowe het v͛nomen;Div froͮwe hete v͛nomen;do div vroͮwe hate u͛nomen;Do div frowe hete ver nomen;0,17;0,27;0,3;0,27;0,26;0,3
108;daʒ von ir tohter ſolte chomen;daz von ir ein ein toht͛ ſold̉ chomē;Dc von ir tͦht͛an ain͛ ſolte kom̄;daz von ir tohter ſolde chomen;0,38;0,48;0,07;0,49;0,32;0,52
109;vnſer herre ihc chriſt;Daz ſiͤt an ir bewæret iſt;Dc ſit an ir bewaͤret iſt;daz ſit an ir bewæret iſt;0,77;0,76;0,76;0,19;0,08;0,2
110;alſe ſeit von ir bewert iſt;vnſer herre ieſus chriſt;Vnſer herre der gewaͤre kriſt;vnſer herre ieſvs chriſt;0,7;0,62;0,7;0,45;0,04;0,45
111;die maria hieʒʒe;Vnt div maria hiezze;Vnd dc div maria hies;vnt div ſelbe MARIA hiezze;0,35;0,52;0,65;0,33;0,46;0,65
112;deſ riet man daʒ ſi lieʒʒe;man ſagt daz ſi ſie liezze;Nu ſaget man vͥns dc ſi ſvͥ lies;deſ ſagte man daz ſi ſie liezze;0,54;0,62;0,35;0,59;0,26;0,53
113;nennen alle drey;Nennen alle drie;Nemmen alle drie;nennen alle drie;0,19;0,31;0,12;0,12;0,06;0,19
114;geleiche marey;geliches namen marie;Geliches namen marie;gelicheſ namen MARIE;0,5;0,55;0,55;0,05;0,3;0,35
115;er hat beſchaiden mære;Er beſcheidet vns mære;Er ſaget vͥns niht mere;Er beſcheidet vnſ noch mere;0,45;0,61;0,59;0,61;0,26;0,44
116;von der maide here;von der meide here;Von der megede here;von der meide edele vnd here;0,06;0,21;0,39;0,16;0,36;0,39
117;wie ſi in dem templo war erzogen;Wi ſi zv dem templo wart gezogen;Wie ſi ʒe dem tempel wart e͛ʒogen;wi ſi zem templo wart gezogen;0,22;0,24;0,25;0,24;0,12;0,33
118;da kvnige vn̄ herʒogen;da chvnige vn̄ herzogen;Da kvͥnge graue herʒogen;da kvͤnege Graven vnd herzogen;0,13;0,33;0,37;0,46;0,4;0,37
119;vnde and͛ edele herren;Vnt ander edele herren;;vnd ander edele herren;0,23;1,0;0,14;1,0;0,09;1,0
120;nahen vn̄ verren;nahen vnde verren;;beide nahen vnd verren;0,12;1,0;0,32;1,0;0,32;1,0
121;ir tohter baten leren;Ir tohter bæten leren;Ir tohteran hieſſen leren;ir tohter baten leren;0,1;0,32;0,0;0,28;0,1;0,32
122;ſwaʒ ʒetugenden vn̄ ʒe eren;ſwaz ze zvchten vn̄ ze eren;Swc ʒe truͥwen und ʒe eren;Swaz ze zvͤhten vnd ze eren;0,33;0,41;0,41;0,44;0,11;0,37
123;vn̄ ʒe weibeſ ʒuht geʒoch;Vnt zewibes tugende gezoͤch;Vn̄ ʒe ſaͤlekait ſich geʒoh;vnt ze wibeſ tvgenden zoch;0,52;0,52;0,46;0,7;0,3;0,74
124;da von ſi nie gefloch;div reine nie von danne gevloͤch;Div guͦte niht da uon vloch;div reine nie da von gevloch;0,53;0,7;0,54;0,53;0,25;0,36
125;ſi het daʒ hail;Si gevienge ſiͤn indaz beſte teil;Si uienge es ie den beſten tail;ſi gefienges ie den beſten teil;0,73;0,71;0,71;0,39;0,33;0,23
126;daʒ ſi ge vie den beſten tail;want ſi het daz heil;wan ſi hate das hail;wan ſi hete daz heil;0,62;0,59;0,55;0,25;0,1;0,15
127;vn̄ het von got die ſinne;Vnt von got die ſinne;Von gotte und oͮch die ſinne;vn̄ von gote di ſinne;0,2;0,5;0,24;0,46;0,19;0,54
128;daʒ ſi ir maiſtrinne;daz ſi ir meiſterinne;Dc ſi ir maiſterinne;daz ſi ir meiſterinne;0,14;0,2;0,14;0,19;0,0;0,19
129;umbe den hain ſchulde nie geſluͦk;Vmbe ir vnzuht nie geſluͤch;Vmb enhain ir unʒuht nie geſluͦg;vmbe dehein ir vnzvht nie geſlvch;0,52;0,39;0,48;0,34;0,33;0,33
130;ſi was weis vn̄ chluͦch;ſi was ot ſælich genuͤch;Si was ſaͤlic genuͦg;ſi waſ ſælich genvch;0,54;0,61;0,61;0,42;0,25;0,4
131;vn̄ wie eʒ ſeit dar ʒv chom;Wie ez ſiͤt dazvͦ quam;vnd wie es ſit dar ʒuͦ kam;Wie ez ſider dar zvͦ qvæme;0,56;0,3;0,59;0,5;0,31;0,58
132;daʒ ſi joſeph ʒekonen nam;daz ſi ioſeben genam;Dc ſi ioſep ʒe ſiner e nam;daz ſi Ioſeph ze wibe næme;0,44;0,42;0,38;0,5;0,46;0,5
133;vn̄ wie ſi in ainer cham͛ verſpart;;;;1,0;1,0;1,0;1,0;1,0;1,0
134;von dem hailigen gaiſte ſwanger wart;;;;1,0;1,0;1,0;1,0;1,0;1,0
135;vn̄ wie ſi chom vnʒ an die friſt;;;;1,0;1,0;1,0;1,0;1,0;1,0
136;daʒ der hailige chriſt;;;;1,0;1,0;1,0;1,0;1,0;1,0
137;von der maide wart geboren;;;;1,0;1,0;1,0;1,0;1,0;1,0
138;mit welhem neide vn̄ ʒorn;;;;1,0;1,0;1,0;1,0;1,0;1,0
139;begunde vnder des;;;;1,0;1,0;1,0;1,0;1,0;1,0
140;der kvnich herodes;;;;1,0;1,0;1,0;1,0;1,0;1,0
141;deſ ſelben kindeſ varen;;;;1,0;1,0;1,0;1,0;1,0;1,0
142;vn̄ wie eʒ got geruͦchte bewaren;;;;1,0;1,0;1,0;1,0;1,0;1,0
143;alle div gelichait;;;;1,0;1,0;1,0;1,0;1,0;1,0
144;iſt vor genʒlich geſait;;;;1,0;1,0;1,0;1,0;1,0;1,0
145;;;Dc ſont wir oͮch wiſſe lan;;1,0;1,0;1,0;1,0;1,0;1,0
146;;;Div maget wc ſo wol getan;;1,0;1,0;1,0;1,0;1,0;1,0
147;;;Dc ir alle die iahen;;1,0;1,0;1,0;1,0;1,0;1,0
148;;;Die ſi ie geſahen;;1,0;1,0;1,0;1,0;1,0;1,0
149;;;Si geſaͤhent nie ſchone maget;;1,0;1,0;1,0;1,0;1,0;1,0
150;;;Oͮch iſt ivnſ me uon ir geſaget;;1,0;1,0;1,0;1,0;1,0;1,0
151;;;Dc got hat an ſi gelait;;1,0;1,0;1,0;1,0;1,0;1,0
152;;;Alſo groſſe ſaͤlekait;;1,0;1,0;1,0;1,0;1,0;1,0
153;;;Div enhaines menſchen mūt;;1,0;1,0;1,0;1,0;1,0;1,0
154;;;Moͤhte gar getuͦn kunt;;1,0;1,0;1,0;1,0;1,0;1,0
155;;;Oͮch worhte ſi ſwes ſi geʒam;;1,0;1,0;1,0;1,0;1,0;1,0
156;;;In der hant vn̄ and͛ ram;;1,0;1,0;1,0;1,0;1,0;1,0
157;;;Swc de haines h͛ʒen ahte;;1,0;1,0;1,0;1,0;1,0;1,0
158;;;Von w͛che erdenken mahte;;1,0;1,0;1,0;1,0;1,0;1,0
159;;;Dc worhte ſi gar ane wank;;1,0;1,0;1,0;1,0;1,0;1,0
160;;;Des ſaiten ir die iuden dank;;1,0;1,0;1,0;1,0;1,0;1,0
161;;;Vn̄ iahent al geliche;;1,0;1,0;1,0;1,0;1,0;1,0
162;;;Arm vnd riche;;1,0;1,0;1,0;1,0;1,0;1,0
163;;;Da waͤr en hain ʒwivel an;;1,0;1,0;1,0;1,0;1,0;1,0
164;;;Ob ſi naͤme ainen man;;1,0;1,0;1,0;1,0;1,0;1,0
165;;;Von ir gebuͥrte kaͤme;;1,0;1,0;1,0;1,0;1,0;1,0
166;;;Dc gotte waͤr genaͤme;;1,0;1,0;1,0;1,0;1,0;1,0
167;;;Vn̄ des ir geſlehte wrde vro;;1,0;1,0;1,0;1,0;1,0;1,0
168;;;Ʒe rate wrdent ſi do;;1,0;1,0;1,0;1,0;1,0;1,0
169;;;Daſ ſi ivnſer vroͮwen batent;;1,0;1,0;1,0;1,0;1,0;1,0
170;;;Vnd dc gemanlichen tatent;;1,0;1,0;1,0;1,0;1,0;1,0
171;;;Dc ſi ainen man naͤme;;1,0;1,0;1,0;1,0;1,0;1,0
172;;;Das wͦcher von ir kaͤme;;1,0;1,0;1,0;1,0;1,0;1,0
173;;;Da laͤge gottes wille an;;1,0;1,0;1,0;1,0;1,0;1,0
174;;;Do div uroͮwe uernam;;1,0;1,0;1,0;1,0;1,0;1,0
175;;;Der iuden bet vn̄ oͮch ir rat;;1,0;1,0;1,0;1,0;1,0;1,0
176;;;Do tet ſi alſ der baidiͮ hat;;1,0;1,0;1,0;1,0;1,0;1,0
177;;;Saͤlde vnd ſinne;;1,0;1,0;1,0;1,0;1,0;1,0
178;;;Si ſprach ir h͛ren ich minne;;1,0;1,0;1,0;1,0;1,0;1,0
179;;;Ainen man in dem h͛ʒen min;;1,0;1,0;1,0;1,0;1,0;1,0
180;;;An dem wil ich ſtaͤte ſin;;1,0;1,0;1,0;1,0;1,0;1,0
181;;;Mit truͥwen unʒ an minen tot;;1,0;1,0;1,0;1,0;1,0;1,0
182;;;Ir maiſterſchaft ir do gebot;;1,0;1,0;1,0;1,0;1,0;1,0
183;;;Das ſi ſuͥ wiſſen lieſſe;;1,0;1,0;1,0;1,0;1,0;1,0
184;;;wer der waͤr vn̄ wie er hieſſe;;1,0;1,0;1,0;1,0;1,0;1,0
185;;;dis wc ir bette vn̄ ir gebot;;1,0;1,0;1,0;1,0;1,0;1,0
